ticker,exchange_suffix,name,sector,isin,euronext_symbol,mic,market_key,market,market_display,euronext_adn,url,source,source_date
2020.OL,.OL,2020 BULKERS,,BMG9156K1018,2020,XOSL,oslo,Oslo Børs,Oslo Børs,,,euronext_current_directory_csv_export,2026-05-10
48TRA.MI,.MI,TRATON,,DE000TRAT0N7,48TRA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
49MW.MI,.MI,MARVELL TECHNOLOGY,,US5738741041,49MW,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4A.MI,.MI,AGILENT TECHNOL,,US00846U1016,4A,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AA.MI,.MI,ALCOA,,US0138721065,4AA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AAD.MI,.MI,AMADEUS FIRE,,DE0005093108,4AAD,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AAG.MI,.MI,AUMANN,,DE000A2DAM03,4AAG,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AAL.MI,.MI,AMERICAN AIRLINES,,US02376R1023,4AAL,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AAPL.MI,.MI,APPLE,,US0378331005,4AAPL,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ABBV.MI,.MI,ABBVIE,,US00287Y1091,4ABBV,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ABI.MI,.MI,ANHEUSER-BUSCH,,BE0974293251,4ABI,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ABNB.MI,.MI,AIRBNB,,US0090661010,4ABNB,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AC.MI,.MI,ACCOR,,FR0000120404,4AC,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ACA.MI,.MI,CREDIT AGRICOLE,,FR0000045072,4ACA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ACS.MI,.MI,ACS ACTIVIDADES,,ES0167050915,4ACS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AD.MI,.MI,AHOLD DEL,,NL0011794037,4AD,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADBE.MI,.MI,ADOBE,,US00724F1012,4ADBE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADE.MI,.MI,BITCOIN GROUP,,DE000A1TNV91,4ADE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADI.MI,.MI,ANALOG DEVICES,,US0326541051,4ADI,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADJ.MI,.MI,ADLER GROUP,,LU1250154413,4ADJ,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADM.MI,.MI,ARCHER-DANIELS-MID,,US0394831020,4ADM,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADP.MI,.MI,AUTOMATIC DATA PRO,,US0530151036,4ADP,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADS.MI,.MI,ADIDAS,,DE000A1EWWW0,4ADS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADSK.MI,.MI,AUTODESK,,US0527691069,4ADSK,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ADYEN.MI,.MI,ADYEN,,NL0012969182,4ADYEN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AENA.MI,.MI,AENA SME,,ES0105046017,4AENA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AF.MI,.MI,AIR FRANCE-KLM,,FR001400J770,4AF,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AFX.MI,.MI,CARL ZEISS MEDITEC,,DE0005313704,4AFX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AGFB.MI,.MI,AGFA-GEVAERT,,BE0003755692,4AGFB,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AGS.MI,.MI,AGEAS,,BE0974264930,4AGS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AI.MI,.MI,L'AIR LIQUIDE,,FR0000120073,4AI,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AIG.MI,.MI,AMERICAN INTERN,,US0268747849,4AIG,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AIR.MI,.MI,AIRBUS,,NL0000235190,4AIR,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AIXA.MI,.MI,AIXTRON,,DE000A0WMPJ6,4AIXA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AKAM.MI,.MI,AKAMAI TECHNOL,,US00971T1016,4AKAM,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AKE.MI,.MI,ARKEMA,,FR0010313833,4AKE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AKZA.MI,.MI,AKZO NOBEL,,NL0013267909,4AKZA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ALFEN.MI,.MI,ALFEN BEHEER,,NL0012817175,4ALFEN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ALO.MI,.MI,ALSTOM,,FR0010220475,4ALO,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ALV.MI,.MI,ALLIANZ,,DE0008404005,4ALV,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AMAT.MI,.MI,APPLIED MATERIALS,,US0382221051,4AMAT,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AMD.MI,.MI,ADVANCED MICRO DEV,,US0079031078,4AMD,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AMGN.MI,.MI,AMGEN,,US0311621009,4AMGN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AMS.MI,.MI,AMADEUS IT GROUP,,ES0109067019,4AMS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AMT.MI,.MI,AMERICAN TOWER R,,US03027X1000,4AMT,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AMUN.MI,.MI,AMUNDI,,FR0004125920,4AMUN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AMZN.MI,.MI,AMAZON,,US0231351067,4AMZN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ANTM.MI,.MI,ELEVANCE HEALTH,,US0367521038,4ANTM,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4APD.MI,.MI,AIR PRODUCTS AND C,,US0091581068,4APD,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4APH.MI,.MI,Amphenol Corp,,US0320951017,4APH,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ASM.MI,.MI,ASM INTERNATIONAL,,NL0000334118,4ASM,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ASML.MI,.MI,ASML,,NL0010273215,4ASML,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AVGO.MI,.MI,BROADCOM,,US11135F1012,4AVGO,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AWK.MI,.MI,AMERICAN WATER WOR,,US0304201033,4AWK,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AXP.MI,.MI,AMERICAN EXPRESS,,US0258161092,4AXP,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4AZO.MI,.MI,AUTOZONE,,US0533321024,4AZO,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4BA.MI,.MI,BOEING,,US0970231058,4BA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4BAC.MI,.MI,BANK OF AMERICA,,US0605051046,4BAC,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4BAS.MI,.MI,BASF,,DE000BASF111,4BAS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4BAX.MI,.MI,BAXTER INTERN,,US0718131099,4BAX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4BAYN.MI,.MI,BAYER,,DE000BAY0017,4BAYN,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4BBVA.MI,.MI,BBVA,,ES0113211835,4BBVA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
