ticker,exchange_suffix,name,sector,isin,euronext_symbol,mic,market,source,n_days,first_trade_date,last_trade_date,alive_at_period_end,inferred_delisted_before_period_end,status
48TRA.MI,.MI,TRATON,,DE000TRAT0N7,48TRA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
49MW.MI,.MI,MARVELL TECHNOLOGY,,US5738741041,49MW,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4A.MI,.MI,AGILENT TECHNOL,,US00846U1016,4A,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AA.MI,.MI,ALCOA,,US0138721065,4AA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AAD.MI,.MI,AMADEUS FIRE,,DE0005093108,4AAD,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AAG.MI,.MI,AUMANN,,DE000A2DAM03,4AAG,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AAL.MI,.MI,AMERICAN AIRLINES,,US02376R1023,4AAL,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AAPL.MI,.MI,APPLE,,US0378331005,4AAPL,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ABBV.MI,.MI,ABBVIE,,US00287Y1091,4ABBV,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ABI.MI,.MI,ANHEUSER-BUSCH,,BE0974293251,4ABI,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ABNB.MI,.MI,AIRBNB,,US0090661010,4ABNB,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AC.MI,.MI,ACCOR,,FR0000120404,4AC,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ACA.MI,.MI,CREDIT AGRICOLE,,FR0000045072,4ACA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ACS.MI,.MI,ACS ACTIVIDADES,,ES0167050915,4ACS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AD.MI,.MI,AHOLD DEL,,NL0011794037,4AD,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ADBE.MI,.MI,ADOBE,,US00724F1012,4ADBE,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
